"left","right"
"LUPIN","- Lupin!"
"LUPIN","What creature sat in the corner..."
"LUPIN","...the first time Harry Potter"
"LUPIN","visited my office in Hogwarts?"
"LUPIN","- Are you mad?"
"LUPIN","- What creature?!"
"LUPIN","A Grindylow."
"LUPIN","[HARRY SIGHS]"
"LUPIN","We've been betrayed."
"LUPIN","Voldemort knew"
"LUPIN","you were being moved tonight."
"LUPIN","I had to make sure"
"LUPIN","you weren't an impostor."
"LUPIN","[WHOOSH IN DISTANCE]"
"LUPIN","Wait."
"LUPIN","The last words Albus Dumbledore spoke"
"LUPIN","to the pair of us?"
"LUPIN","""Harry is the best hope we have."
"LUPIN","Trust him."""
"LUPIN","What gave you away?"
"LUPIN","Hedwig, I think."
"LUPIN","She was trying to protect me."
"LUPIN","Thanks."
"TONKS","Deserves that. Brilliant, he was."
"TONKS","- I wouldn't be standing here without him."
"TONKS","Always the tone of surprise."
"TONKS","We the last back?"
"FRED","Where's George?"
"FRED","How you feeling, Georgie?"
"FRED","Saint-like."
"FRED","Come again?"
"FRED","Saint-like. I'm holy."
"FRED","I'm holey, Fred. Get it?"
"FRED","The whole wide world of ear-related humor"
"FRED","and you go for ""I'm holey."""
"FRED","That's pathetic."
"FRED","Reckon I'm still better-looking than you."
"FRED","Mad-Eye's dead."
"FRED","Mundungus took one look at Voldemort"
"FRED","and Disapparated."
"MOODY","Head for the Burrows."
"DUMBLEDORE","This is beyond anything I imagined."
"HARRY","They could be hidden anywhere."
"SLUGHORN","To rip the soul into seven pieces...."
"SLUGHORN","Trust me."
"VOLDEMORT","You lied to me. Lied to me, Ollivander."
"VOLDEMORT","[GRUNTS]"
"RON","Going somewhere?"
"RON","Nobody else is going to die. Not for me."
"RON","For you?"
"RON","You think Mad-Eye died for you?"
"RON","You think George took that curse"
"RON","for you?"
"RON","You may be the Chosen One, mate,"
"RON","but this is a whole lot bigger than that."
"RON","It's always been bigger than that."
"RON","- Come with me."
"RON","- What, and leave Hermione?"
"RON","You mad?"
"RON","We wouldn't last two days without her."
"RON","Don't tell her I said that."
"RON","Besides,"
"RON","you've still got the Trace on you."
"RON","- We've still got the wedding--"
"RON","- I don't care about a wedding."
"RON","I'm sorry. No matter whose it is."
"RON","I have to start finding these Horcruxes."
"RON","They're our only chance to beat him..."
"RON","...and the longer we stay here,"
"RON","the stronger he gets."
"RON","Tonight's not the night, mate."
"RON","We'd only be doing him a favor."
"RON","[HARRY SIGHS]"
"RON","[BAG THUDS]"
"RON","Do you think he knows?"
"RON","I mean, they're bits of his soul,"
"RON","these Horcruxes. Bits of him."
"RON","When Dumbledore destroyed the ring,"
"RON","you destroyed Tom Riddle's diary..."
"RON","...he must have felt something."
"RON","To kill the other Horcruxes,"
"RON","we have to find them."
"RON","Where are they?"
"RON","Where do we start?"
"FRED","Ready when you are."
"FRED","[RON & FRED GRUNTING]"
"FRED","It's your brother's wedding. Buck up."
"GINNY","Zip me up, will you?"
"GINNY","It seems silly, doesn't it, a wedding?"
"GINNY","Given everything that's going on."
"GINNY","Maybe that's the best reason to have it..."
"GINNY","...because of everything that's going on."
"GEORGE","Morning."
"ARTHUR","Come on, keep up."
"ARTHUR","All together now."
"ARTHUR","One, two, three."
