Gryffindor,Hufflepuff,Ravenclaw,Slytherin,Name
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Seamus Finnigan
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Ginny Weasley
0.000699911,0.000396397,0.000418428,0.998485267,Movie_Snape'S Voice
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Mrs. Weasley Via Howler
0.998112917,0.000751298,0.000688996,0.000446808,Movie_Colin Creevey
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Harry Potter
0.998112917,0.000751298,0.000688996,0.000446808,Movie_Minerva Mcgonagall
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Hermione Granger
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Professor Minerva Mcgonagall
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Gilderoy Lockhart
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Percy Weasley
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Ron Weasley [As Vincent Crabbe]
0.963889956,0.000933441,0.001952053,0.033224516,Movie_Harry Potter [As Gregory Goyle]
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Hermoine
0.998409867,0.000682734,0.00044946,0.000457851,"Movie_Harry, Ron, And Hermione"
0.320970654,0.005813641,0.012996649,0.660219073,Movie_'Harry
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Lockhart
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Albus Dumbledore
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Sirius
0.000714497,0.000356517,0.000418438,0.99851054,Movie_Professor Snape
0.998409867,0.000682734,0.00044946,0.000457851,Movie_Professor Lupin
0.99723947,0.00108618,0.000835868,0.000838516,Movie_Lupin
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Peter Pettigrew
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Pettigrew
0.003072605,0.00030022,0.000299716,0.99632746,Movie_Slytherin Students
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Lord Voldemort
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Wormtail
0.998790801,0.000540563,0.000405605,0.000263032,Movie_James Potter
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Lily Potter
0.99865973,0.00059916,0.000449573,0.000291544,Movie_Fred/George
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Barty Crouch Jr.
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Igor Karkaroff
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Karkaroff
